,locus_tag,name,description,type,length,subsystem
PP_t72,PP_RS01520,,tRNA-Phe,tRNA,76.0,Translation
PP_0285,PP_RS01525,,oxidative damage protection protein,CDS,273.0,
PP_0286,PP_RS01530,mutY,A/G-specific adenine glycosylase,CDS,1068.0,
PP_0287,PP_RS01535,,AsmA family protein,CDS,2247.0,
PP_0288,PP_RS01540,,OFA family MFS transporter,CDS,1662.0,
PP_0289,PP_RS01545,hisB,imidazoleglycerol-phosphate dehydratase HisB,CDS,594.0,Metabolic:S_Histidine_Metabolism
PP_0290,PP_RS01550,hisH,imidazole glycerol phosphate synthase subunit HisH,CDS,639.0,Metabolic:S_Histidine_Metabolism
PP_0291,PP_RS01555,,DUF2164 domain-containing protein,CDS,261.0,
PP_0292,PP_RS01560,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,CDS,738.0,Metabolic:S_Histidine_Metabolism
PP_0293,PP_RS01565,hisF,imidazole glycerol phosphate synthase subunit HisF,CDS,771.0,Metabolic:S_Histidine_Metabolism
PP_0294,PP_RS01570,choV,choline ABC transporter ATP-binding protein,CDS,1179.0,Metabolic:S_Transport__ABC_system
PP_0295,PP_RS01575,choW,choline ABC transporter permease subunit,CDS,849.0,Metabolic:S_Transport__ABC_system
PP_0296,PP_RS01580,,choline ABC transporter substrate-binding protein,CDS,948.0,Metabolic:S_Transport__ABC_system
PP_0297,PP_RS01585,,L-serine ammonia-lyase,CDS,1377.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0298,PP_RS01590,,GlxA family transcriptional regulator,CDS,1107.0,
PP_0300,PP_RS01600,,zinc-dependent metalloprotease family protein,CDS,1581.0,
PP_0301,PP_RS01605,,thioesterase family protein,CDS,471.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0302,PP_RS01610,,L-carnitine dehydrogenase,CDS,966.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0303,PP_RS01615,,3-keto-5-aminohexanoate cleavage protein,CDS,885.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0304,PP_RS01620,choX,choline ABC transporter substrate-binding protein,CDS,945.0,Metabolic:S_Transport__ABC_system
PP_0305,PP_RS01625,,GlxA family transcriptional regulator,CDS,948.0,
PP_5442,PP_RS01630,,hypothetical protein,CDS,618.0,
PP_0306,PP_RS01635,,hypothetical protein,CDS,693.0,
PP_0307,PP_RS01640,,lysozyme inhibitor LprI family protein,CDS,417.0,
PP_0308,PP_RS01645,,dipeptidase,CDS,978.0,
PP_0309,PP_RS01650,,DUF5943 domain-containing protein,CDS,531.0,
PP_0310,PP_RS01655,dgcA,dimethylglycine demethylation protein DgcA,CDS,2061.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0311,PP_RS01660,dgcB,dimethylglycine demethylation protein DgcB,CDS,1953.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0312,PP_RS01665,,electron transfer flavoprotein subunit alpha/FixB family protein,CDS,1233.0,
PP_0313,PP_RS01670,,electron transfer flavoprotein subunit beta,CDS,771.0,
PP_0314,PP_RS01675,,RHS repeat-associated core domain-containing protein,CDS,732.0,
PP_0315,PP_RS01680,gbcA,glycine-betaine demethylase subunit GbcA,CDS,1293.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0316,PP_RS01685,gbcB,glycine-betaine demethylase subunit GbcB,CDS,1101.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0317,PP_RS01690,,methyl-accepting chemotaxis protein,CDS,1626.0,
PP_0318,PP_RS01695,,hypothetical protein,CDS,231.0,
PP_0319,PP_RS01700,,cell division protein ZapA,CDS,303.0,
PP_0320,PP_RS01705,mcpH,methyl-accepting chemotaxis protein McpH,CDS,1938.0,
PP_0321,PP_RS01710,,low specificity L-threonine aldolase,CDS,1041.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0322,PP_RS01715,,serine hydroxymethyltransferase,CDS,1254.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0323,PP_RS01720,,sarcosine oxidase subunit beta family protein,CDS,1251.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0324,PP_RS01725,,sarcosine oxidase subunit delta,CDS,336.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0325,PP_RS01730,,sarcosine oxidase subunit alpha,CDS,3015.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0326,PP_RS01735,soxG,sarcosine oxidase subunit gamma,CDS,633.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0327,PP_RS01740,purU,formyltetrahydrofolate deformylase,CDS,858.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__One_Carbon_pool_by_folate
PP_0328,PP_RS01745,fdhA,"formaldehyde dehydrogenase, glutathione-independent",CDS,1200.0,Metabolic:S_Formaldehyde_Metabolism
PP_0329,PP_RS01750,,RHS repeat-associated core domain-containing protein,CDS,924.0,
PP_0330,PP_RS01755,,DUF2780 domain-containing protein,CDS,576.0,
PP_0331,PP_RS01760,,RHS repeat-associated core domain-containing protein,CDS,726.0,
PP_0332,PP_RS01765,,acyltransferase,CDS,888.0,
PP_0333,PP_RS01770,,ATP-dependent zinc protease,CDS,501.0,
PP_0334,PP_RS01775,,IS110-like element ISPpu11 family transposase,CDS,1059.0,
PP_0335,PP_RS01780,,glutathione S-transferase,CDS,624.0,
PP_0336,PP_RS01785,msrA,peptide-methionine (S)-S-oxide reductase MsrA,CDS,669.0,Metabolic:Unassigned
PP_0337,PP_RS01790,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,2691.0,
PP_0338,PP_RS01795,aceF,dihydrolipoyllysine-residue acetyltransferase,CDS,1641.0,Metabolic:S_Glycolysis
PP_0339,PP_RS01800,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",CDS,2646.0,Metabolic:S_Glycolysis
PP_0340,PP_RS01805,glnE,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,CDS,2934.0,
PP_0341,PP_RS01810,waaF,lipopolysaccharide heptosyltransferase II,CDS,1050.0,Metabolic:S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis
PP_0342,PP_RS01815,waaC,lipopolysaccharide heptosyltransferase I,CDS,1059.0,Metabolic:S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis
PP_0343,PP_RS01820,,glycosyltransferase family 4 protein,CDS,1125.0,Metabolic:S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis
PP_0344,PP_RS01825,rfaP,lipopolysaccharide core heptose(I) kinase RfaP,CDS,807.0,Metabolic:S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis
PP_0345,PP_RS01830,,lipopolysaccharide kinase InaA family protein,CDS,735.0,Metabolic:S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis
PP_0346,PP_RS01835,,lipopolysaccharide kinase InaA family protein,CDS,753.0,Metabolic:S_Cell_Envelope_Biosynthesis__LPS_Biosynthesis
PP_0347,PP_RS01840,,lipopolysaccharide kinase InaA family protein,CDS,1443.0,
PP_0348,PP_RS01845,,dermonecrotic toxin domain-containing protein,CDS,2787.0,
PP_5443,PP_RS01850,,hypothetical protein,CDS,186.0,
PP_0349,PP_RS01855,,PepSY domain-containing protein,CDS,1113.0,
PP_0350,PP_RS01860,,TonB-dependent siderophore receptor,CDS,2433.0,Metabolic:S_Iron_uptake_and_metabolism
PP_0351,PP_RS01865,,FecR domain-containing protein,CDS,957.0,
PP_0352,PP_RS01870,,RNA polymerase sigma factor,CDS,519.0,
PP_0353,PP_RS01875,,PolC-type DNA polymerase III,CDS,711.0,
PP_0354,PP_RS01880,,putative nucleotidyltransferase substrate binding domain-containing protein,CDS,1938.0,
PP_0355,PP_RS01885,,response regulator,CDS,546.0,
PP_0356,PP_RS01890,,malate synthase G,CDS,2178.0,Metabolic:S_TCA_Cycle
PP_0357,PP_RS01895,,glycine cleavage system protein R,CDS,519.0,
PP_0358,PP_RS01900,rarD,EamA family transporter RarD,CDS,888.0,
PP_0359,PP_RS01905,,serine/threonine protein kinase,CDS,975.0,
PP_0360,PP_RS01910,,TOBE domain-containing protein,CDS,765.0,
PP_0361,PP_RS01915,,ComF family protein,CDS,732.0,
PP_0362,PP_RS01920,bioB,biotin synthase BioB,CDS,1059.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0363,PP_RS01925,bioF,8-amino-7-oxononanoate synthase,CDS,1173.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0364,PP_RS01930,,alpha/beta fold hydrolase,CDS,732.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0365,PP_RS01935,bioC,malonyl-ACP O-methyltransferase BioC,CDS,819.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0366,PP_RS01940,bioD,dethiobiotin synthase,CDS,681.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0367,PP_RS01945,,hypothetical protein,CDS,297.0,
PP_0368,PP_RS01950,,phenylacyl-CoA dehydrogenase,CDS,1806.0,Metabolic:S_Fatty_Acid_Metabolism
PP_0369,PP_RS01955,,diguanylate cyclase,CDS,1284.0,
PP_0370,PP_RS01960,,acyl-CoA dehydrogenase C-terminal domain-containing protein,CDS,1779.0,
PP_0371,PP_RS01965,,LysR family transcriptional regulator,CDS,924.0,
PP_0372,PP_RS01970,,aspartate aminotransferase family protein,CDS,1281.0,
PP_0373,PP_RS01975,,YqaE/Pmp3 family membrane protein,CDS,159.0,
PP_5444,PP_RS01980,,heparin lyase I family protein,CDS,927.0,
PP_0375,PP_RS01985,,S9 family peptidase,CDS,1839.0,
PP_0376,PP_RS01990,pqqE,pyrroloquinoline quinone biosynthesis protein PqqE,CDS,1131.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis
PP_0377,PP_RS01995,pqqD,pyrroloquinoline quinone biosynthesis peptide chaperone PqqD,CDS,276.0,
PP_0378,PP_RS02000,pqqC,pyrroloquinoline-quinone synthase PqqC,CDS,756.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis
PP_0379,PP_RS02005,pqqB,pyrroloquinoline quinone biosynthesis protein PqqB,CDS,912.0,
PP_0380,PP_RS02010,pqqA,pyrroloquinoline quinone precursor peptide PqqA,CDS,72.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis
PP_0381,PP_RS02015,pqqF,pyrroloquinoline quinone biosynthesis protein PqqF,CDS,2301.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis___Pyrroloquinoline_quinone_biosynthesis
PP_0382,PP_RS02020,,carbon-nitrogen hydrolase family protein,CDS,795.0,Metabolic:S_Lysine_Metabolism
PP_0383,PP_RS02025,,NAD(P)/FAD-dependent oxidoreductase,CDS,1683.0,Metabolic:S_Lysine_Metabolism
PP_0384,PP_RS02030,,Lrp/AsnC family transcriptional regulator,CDS,462.0,
PP_0385,PP_RS02035,,serine acetyltransferase,CDS,555.0,
PP_5445,PP_RS28480,,site-specific integrase,CDS,120.0,
PP_t71,PP_RS02040,,tRNA-Ile,tRNA,77.0,Translation
PP_0386,PP_RS02045,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,3744.0,
PP_0387,PP_RS02050,rpoD,RNA polymerase sigma factor RpoD,CDS,1851.0,Transcription
PP_0388,PP_RS02055,dnaG,DNA primase,CDS,1983.0,
PP_0389,PP_RS02060,rpsU,30S ribosomal protein S21,CDS,216.0,Translation
PP_0390,PP_RS02065,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,CDS,1026.0,
PP_0391,PP_RS02070,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,CDS,570.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_0392,PP_RS02075,folB,dihydroneopterin aldolase,CDS,357.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis
PP_0393,PP_RS02080,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,CDS,510.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Folate_Biosynthesis
PP_0394,PP_RS02085,,multifunctional CCA addition/repair protein,CDS,1107.0,
PP_0395,PP_RS02090,,SpoVR family protein,CDS,1569.0,
PP_0396,PP_RS02095,,YeaH/YhbH family protein,CDS,1272.0,
PP_0397,PP_RS02100,,PrkA family serine protein kinase,CDS,1923.0,
PP_0398,PP_RS02105,glpE,thiosulfate sulfurtransferase GlpE,CDS,333.0,Metabolic:S_Sulfur_Metabolism
PP_0399,PP_RS02110,,symmetrical bis(5'-nucleosyl)-tetraphosphatase,CDS,867.0,Metabolic:S_Purine_Metabolism
PP_0400,PP_RS02115,apaG,Co2+/Mg2+ efflux protein ApaG,CDS,381.0,
PP_0401,PP_RS02120,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,CDS,804.0,Translation
PP_0402,PP_RS02125,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,CDS,990.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism
PP_0403,PP_RS02130,surA,peptidylprolyl isomerase SurA,CDS,1326.0,
PP_0404,PP_RS02135,,LPS-assembly protein LptD,CDS,2823.0,
PP_0405,PP_RS02140,,aminoglycoside phosphotransferase family protein,CDS,1020.0,
PP_0406,PP_RS02145,,N-acetylmuramate alpha-1-phosphate uridylyltransferase MurU,CDS,672.0,
PP_0407,PP_RS02150,,TerB family tellurite resistance protein,CDS,768.0,
PP_0408,PP_RS02155,,alpha/beta hydrolase family protein,CDS,999.0,
PP_0409,PP_RS02160,,PAS domain S-box protein,CDS,2388.0,
PP_0410,PP_RS02165,,response regulator transcription factor,CDS,633.0,
PP_0411,PP_RS02170,,ABC transporter ATP-binding protein,CDS,1125.0,Metabolic:S_Transport__ABC_system
PP_0412,PP_RS02175,,ABC transporter substrate-binding protein,CDS,1035.0,Metabolic:S_Transport__ABC_system
PP_0413,PP_RS02180,,ABC transporter permease,CDS,1248.0,Metabolic:S_Transport__ABC_system
PP_0414,PP_RS02185,,ABC transporter permease,CDS,828.0,Metabolic:S_Transport__ABC_system
PP_0415,PP_RS02190,rpe,ribulose-phosphate 3-epimerase,CDS,675.0,Metabolic:S_Pentose_Phosphate_Pathway
PP_0416,PP_RS02195,,phosphoglycolate phosphatase,CDS,819.0,Metabolic:S_Glyoxylate_and_dicarboxylate_metabolism
PP_0417,PP_RS02200,trpE,anthranilate synthase component I,CDS,1482.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0418,PP_RS02205,estP,esterase EstP,CDS,1890.0,Metabolic:S_Fatty_Acid_Metabolism
PP_0420,PP_RS02210,,aminodeoxychorismate/anthranilate synthase component II,CDS,594.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0421,PP_RS02215,trpD,anthranilate phosphoribosyltransferase,CDS,1050.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0422,PP_RS02220,trpC,indole-3-glycerol phosphate synthase TrpC,CDS,834.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0423,PP_RS02225,,lipoate--protein ligase family protein,CDS,705.0,
PP_0424,PP_RS02230,crp,cAMP-activated global transcriptional regulator CRP,CDS,645.0,
PP_0425,PP_RS02235,,OsmC family protein,CDS,423.0,
PP_0426,PP_RS02240,,DUF2157 domain-containing protein,CDS,1041.0,
PP_0427,PP_RS02245,coq7,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase",CDS,648.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis
PP_0428,PP_RS02250,,histidine triad nucleotide-binding protein,CDS,339.0,
PP_0429,PP_RS02255,,SDR family oxidoreductase,CDS,783.0,
PP_0430,PP_RS02260,,nitronate monooxygenase family protein,CDS,957.0,
PP_0431,PP_RS02265,hemJ,protoporphyrinogen oxidase HemJ,CDS,426.0,
PP_0432,PP_RS02270,argC,N-acetyl-gamma-glutamyl-phosphate reductase,CDS,1035.0,Metabolic:S_Urea_cycleamino_group_metabolism
PP_0433,PP_RS02275,erpA,iron-sulfur cluster insertion protein ErpA,CDS,351.0,Metabolic:S_Oxidative_Phosphorylation
PP_0434,PP_RS02280,,anhydro-N-acetylmuramic acid kinase,CDS,1092.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_0435,PP_RS02285,,peptidoglycan DD-metalloendopeptidase family protein,CDS,1422.0,
PP_0436,PP_RS02290,tyrS,tyrosine--tRNA ligase,CDS,1200.0,tRNA Charging
PP_16SC,PP_RS02295,,16S ribosomal RNA,rRNA,1537.0,Translation
PP_23SC,PP_RS02300,,23S ribosomal RNA,rRNA,2893.0,Translation
PP_5SC,PP_RS02305,rrf,5S ribosomal RNA,rRNA,116.0,Translation
PP_0437,PP_RS02310,birA,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA,CDS,960.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis
PP_0438,PP_RS02315,,pantothenate kinase,CDS,750.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis
PP_0439,PP_RS02320,,hypothetical protein,CDS,426.0,
PP_t01,PP_RS02325,,tRNA-Tyr,tRNA,84.0,Translation
PP_t02,PP_RS02330,,tRNA-Gly,tRNA,74.0,Translation
PP_t03,PP_RS02335,,tRNA-Thr,tRNA,76.0,Translation
PP_0440,PP_RS02340,tuf,elongation factor Tu,CDS,1194.0,Translation
PP_t04,PP_RS02345,,tRNA-Trp,tRNA,76.0,Translation
PP_0441,PP_RS02350,secE,preprotein translocase subunit SecE,CDS,369.0,Post-translation
PP_0442,PP_RS02355,nusG,transcription termination/antitermination protein NusG,CDS,534.0,Transcription
PP_0443,PP_RS02360,rplK,50S ribosomal protein L11,CDS,432.0,Translation
PP_0444,PP_RS02365,rplA,50S ribosomal protein L1,CDS,696.0,Translation
PP_0445,PP_RS02370,rplJ,50S ribosomal protein L10,CDS,501.0,Translation
PP_0446,PP_RS02375,rplL,50S ribosomal protein L7/L12,CDS,366.0,Translation
PP_0447,PP_RS02380,rpoB,DNA-directed RNA polymerase subunit beta,CDS,4074.0,Transcription
PP_0448,PP_RS02385,rpoC,DNA-directed RNA polymerase subunit beta',CDS,4200.0,Transcription
PP_0449,PP_RS02390,rpsL,30S ribosomal protein S12,CDS,372.0,Translation
PP_0450,PP_RS02395,rpsG,30S ribosomal protein S7,CDS,471.0,Translation
PP_0451,PP_RS02400,fusA,elongation factor G,CDS,2148.0,Translation
PP_0452,PP_RS02405,tuf,elongation factor Tu,CDS,1194.0,Translation
PP_0453,PP_RS02410,rpsJ,30S ribosomal protein S10,CDS,312.0,Translation
PP_0454,PP_RS02415,rplC,50S ribosomal protein L3,CDS,636.0,Translation
PP_0455,PP_RS02420,rplD,50S ribosomal protein L4,CDS,603.0,Translation
PP_0456,PP_RS02425,rplW,50S ribosomal protein L23,CDS,300.0,Translation
PP_0457,PP_RS02430,rplB,50S ribosomal protein L2,CDS,825.0,Translation
PP_0458,PP_RS02435,rpsS,30S ribosomal protein S19,CDS,276.0,Translation
PP_0459,PP_RS02440,rplV,50S ribosomal protein L22,CDS,333.0,Translation
PP_0460,PP_RS02445,rpsC,30S ribosomal protein S3,CDS,687.0,Translation
PP_0461,PP_RS02450,rplP,50S ribosomal protein L16,CDS,414.0,Translation
PP_0462,PP_RS02455,rpmC,50S ribosomal protein L29,CDS,192.0,
PP_0463,PP_RS02460,rpsQ,30S ribosomal protein S17,CDS,267.0,Translation
PP_0464,PP_RS02465,rplN,50S ribosomal protein L14,CDS,369.0,Translation
PP_0465,PP_RS02470,rplX,50S ribosomal protein L24,CDS,315.0,Translation
PP_0466,PP_RS02475,rplE,50S ribosomal protein L5,CDS,540.0,Translation
PP_0467,PP_RS02480,rpsN,30S ribosomal protein S14,CDS,306.0,Translation
PP_0468,PP_RS02485,rpsH,30S ribosomal protein S8,CDS,393.0,Translation
PP_0469,PP_RS02490,rplF,50S ribosomal protein L6,CDS,534.0,Translation
PP_0470,PP_RS02495,rplR,50S ribosomal protein L18,CDS,351.0,Translation
PP_0471,PP_RS02500,rpsE,30S ribosomal protein S5,CDS,501.0,Translation
PP_0472,PP_RS02505,rpmD,50S ribosomal protein L30,CDS,177.0,
PP_0473,PP_RS02510,rplO,50S ribosomal protein L15,CDS,435.0,Translation
PP_0474,PP_RS02515,secY,preprotein translocase subunit SecY,CDS,1332.0,Post-translation
PP_0475,PP_RS02520,rpmJ,50S ribosomal protein L36,CDS,117.0,
PP_0476,PP_RS02525,rpsM,30S ribosomal protein S13,CDS,357.0,Translation
PP_0477,PP_RS02530,rpsK,30S ribosomal protein S11,CDS,390.0,Translation
PP_0478,PP_RS02535,rpsD,30S ribosomal protein S4,CDS,621.0,Translation
PP_0479,PP_RS02540,rpoA,DNA-directed RNA polymerase subunit alpha,CDS,1002.0,Transcription
PP_0480,PP_RS02545,rplQ,50S ribosomal protein L17,CDS,387.0,Translation
PP_0481,PP_RS02550,,catalase,CDS,1440.0,Metabolic:Unassigned
PP_0482,PP_RS02555,bfr,bacterioferritin,CDS,465.0,
PP_0483,PP_RS02560,uvrA,excinuclease ABC subunit UvrA,CDS,2835.0,
PP_0484,PP_RS02565,,MFS transporter,CDS,1395.0,
PP_0485,PP_RS02570,,single-stranded DNA-binding protein,CDS,546.0,
PP_0486,PP_RS02575,,PLP-dependent aminotransferase family protein,CDS,1383.0,
PP_0487,PP_RS02580,,TSUP family transporter,CDS,786.0,
PP_0488,PP_RS02585,,SDR family NAD(P)-dependent oxidoreductase,CDS,762.0,
PP_0489,PP_RS02590,fdnG,formate dehydrogenase-N subunit alpha,CDS,3069.0,Metabolic:S_Formaldehyde_Metabolism
PP_0490,PP_RS02595,fdxH,formate dehydrogenase subunit beta,CDS,951.0,Metabolic:S_Formaldehyde_Metabolism
PP_0491,PP_RS02600,,formate dehydrogenase subunit gamma,CDS,657.0,Metabolic:S_Formaldehyde_Metabolism
PP_0492,PP_RS02605,fdhE,formate dehydrogenase accessory protein FdhE,CDS,927.0,Metabolic:S_Formaldehyde_Metabolism
PP_0493,PP_RS02610,selA,L-seryl-tRNA(Sec) selenium transferase,CDS,1428.0,Translation
PP_0494,PP_RS02615,selB,selenocysteine-specific translation elongation factor,CDS,1923.0,Translation
PP_t75,PP_RS02620,,tRNA-Sec,tRNA,96.0,tRNA Charging
PP_0495,PP_RS02625,,asparaginase,CDS,999.0,Metabolic:S_Alanine_and_Aspartate_Metabolism
PP_0496,PP_RS02630,,sodium:alanine symporter family protein,CDS,1443.0,Metabolic:S_Transport__Inner_Membrane
PP_0497,PP_RS02635,,helix-turn-helix transcriptional regulator,CDS,810.0,
PP_0498,PP_RS02640,,alpha/beta hydrolase,CDS,846.0,
PP_0500,PP_RS02655,,sugar nucleotide-binding protein,CDS,885.0,Metabolic:S_Alginate_biosynthesis
PP_0501,PP_RS02660,,NAD-dependent epimerase/dehydratase family protein,CDS,933.0,Metabolic:S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_
PP_0502,PP_RS02665,,helix-turn-helix domain-containing protein,CDS,444.0,
PP_0503,PP_RS02670,,MFS transporter,CDS,1206.0,
PP_0504,PP_RS02675,,OmpW family protein,CDS,684.0,
PP_0505,PP_RS02680,,DUF3299 domain-containing protein,CDS,513.0,
PP_0506,PP_RS02685,,FtsX-like permease family protein,CDS,1266.0,
PP_0507,PP_RS02690,,ABC transporter ATP-binding protein,CDS,711.0,
PP_0508,PP_RS02695,,DUF2796 domain-containing protein,CDS,582.0,
PP_0509,PP_RS02700,,hypothetical protein,CDS,345.0,
PP_0510,PP_RS02705,trxA,thioredoxin,CDS,873.0,Metabolic:Unassigned
PP_0511,PP_RS02710,,methyltransferase,CDS,657.0,
PP_0512,PP_RS02715,,YbaY family lipoprotein,CDS,447.0,
PP_0513,PP_RS02720,nrdR,transcriptional regulator NrdR,CDS,465.0,
PP_0514,PP_RS02725,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,CDS,1131.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism
PP_0515,PP_RS02730,,riboflavin synthase,CDS,666.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism
PP_0516,PP_RS02735,ribBA,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",CDS,1092.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Riboflavin_Metabolism
